No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"A1","2167:9091","Header","ヘッダー","Header","others","navigation","","","","","","","","","Mục đích: Header điều hướng chính của trang. Đây là shared component dùng chung cho tất cả các trang (About SAA 2025; Award Information; Sun* Kudos).
Hiển thị:
- Logo Sun* Annual Awards (bên trái)
- Liên kết điều hướng: 'About SAA 2025'; 'Award Information'; 'Sun* Kudos' (giữa)
- Nút chức năng: icon chuông thông báo; nút chọn ngôn ngữ 'VN'; icon tài khoản người dùng (bên phải)
Chức năng:
- Click logo: về trang chủ
- Click từng link menu: chuyển trang tương ứng
- Active state: link trang hiện tại hiển thị màu vàng + underline; đồng bộ với footer (cùng trang thì cả header và footer đều active)
- Hover link: highlight
- Click icon chuông: mở panel thông báo
- Click 'VN': mở dropdown chọn ngôn ngữ
- Click avatar: mở menu tài khoản","","Click logo -> Homepage; Click 'About SAA 2025' -> Trang About SAA 2025; Click 'Award Information' -> Trang Award Information; Click 'Sun* Kudos' -> Trang Sun* Kudos","","","","- Xác nhận header là shared component hiển thị trên tất cả các trang
- Xác nhận header hiển thị đúng logo; 3 link menu; icon chuông; nút ngôn ngữ; icon tài khoản
- Xác nhận click logo điều hướng về trang chủ
- Xác nhận click từng link menu chuyển đến trang đúng
- Xác nhận active state đồng bộ giữa header và footer (cùng trang thì cả hai đều active)
- Xác nhận hover vào link menu có hiệu ứng highlight
- Xác nhận header hiển thị đúng trên các kích thước màn hình khác nhau"
"A1.1","I2167:9091;178:1033","LOGO","ロゴ","Logo","button","","icon_text","","","","","","","","Mục đích: Logo thương hiệu Sun* Annual Awards; dùng làm nút điều hướng về trang chủ.
Hiển thị: Logo Sun* Annual Awards 2025 dạng icon kết hợp text; nằm bên trái header.
Chức năng: Click logo điều hướng về trang chủ (Homepage).","on_click","Homepage","","","","- Xác nhận logo hiển thị đúng hình ảnh và text 'Sun* Annual Awards 2025'
- Xác nhận click logo điều hướng về trang chủ
- Xác nhận logo có trạng thái hover (cursor pointer)"
"A1.2","I2167:9091;186:1579","Button-Selected state","ボタン - 選択状態","Button - Selected State","button","","text_link","","","","","","","","Mục đích: Nút menu điều hướng đang ở trạng thái được chọn (selected); cho biết người dùng đang ở trang hiện tại.
Hiển thị: Text 'About SAA 2025' với kiểu chữ nổi bật (màu vàng/sáng); có đường gạch dưới chỉ trạng thái đang chọn.
Chức năng: Click điều hướng đến trang 'About SAA 2025'. Nếu đang selected; click vào button thì scroll lên đầu trang.","on_click","Trang About SAA 2025","","","","- Xác nhận nút hiển thị text 'About SAA 2025' với trạng thái selected (text nổi bật; có underline)
- Xác nhận click nút điều hướng đến trang About SAA 2025
- Xác nhận trạng thái selected khác biệt rõ với trạng thái normal và hover"
"A1.3","I2167:9091;186:1587","Button Hover State","ボタン - ホバー状態","Button - Hover State","button","","text_link","","","","","","","","Mục đích: Nút menu điều hướng đang ở trạng thái hover; hiển thị khi người dùng di chuột vào.
Hiển thị: Text 'Award Information' với hiệu ứng nền sáng nhẹ khi hover.
Chức năng: Click điều hướng đến trang 'Award Information'. Trạng thái hover hiển thị nền sáng nhẹ để phản hồi tương tác.","on_click","Trang Award Information","","","","- Xác nhận nút hiển thị text 'Award Information'
- Xác nhận hover vào nút có hiệu ứng nền sáng
- Xác nhận click nút điều hướng đến trang Award Information
- Xác nhận trạng thái hover khác biệt với trạng thái normal và selected"
"A1.5","I2167:9091;186:1593","Button-Normal state","ボタン - 通常状態","Button - Normal State","button","","text_link","","","","","","","","Mục đích: Nút menu điều hướng ở trạng thái bình thường (normal); chưa được chọn và chưa hover.
Hiển thị: Text 'Sun* Kudos' với kiểu chữ mặc định; không có underline hay hiệu ứng nền.
Chức năng: Click điều hướng đến trang 'Sun* Kudos'. Hover sẽ chuyển sang trạng thái hover.","on_click","Trang Sun* Kudos","","","","- Xác nhận nút hiển thị text 'Sun* Kudos' ở trạng thái normal
- Xác nhận click nút điều hướng đến trang Sun* Kudos
- Xác nhận hover vào nút chuyển sang trạng thái hover
- Xác nhận trạng thái normal khác biệt với selected và hover"
"A1.6","I2167:9091;186:2101","Notification","通知","Notification","button","","icon_text","","","","","","","","Mục đích: Nút icon thông báo cho phép người dùng xem các thông báo mới.
Hiển thị: Icon hình chuông kích thước 40x40px; nằm bên phải header. Có badge đỏ (dot) hiển thị khi có thông báo chưa đọc.
Chức năng: Click mở panel/dropdown danh sách thông báo. Hiển thị tối đa 5 thông báo ban đầu; hỗ trợ infinity scroll để tải thêm. Có nút 'Xem tất cả' để mở trang danh sách thông báo đầy đủ. Badge đỏ tự động ẩn khi không có thông báo chưa đọc. Số lượng thông báo chưa đọc được cập nhật realtime.","on_click","Notification panel (dropdown/overlay)","notifications","","Lấy danh sách thông báo chưa đọc của người dùng hiện tại để hiển thị badge. Phân trang: 5 items/lần tải.","- Xác nhận icon chuông hiển thị đúng kích thước 40x40px
- Xác nhận badge đỏ hiển thị khi có thông báo chưa đọc
- Xác nhận badge đỏ ẩn đi khi không có thông báo chưa đọc
- Xác nhận click icon mở panel thông báo
- Xác nhận panel hiển thị tối đa 5 thông báo ban đầu
- Xác nhận infinity scroll tải thêm thông báo khi cuộn xuống
- Xác nhận nút 'Xem tất cả' hiển thị và điều hướng đúng
- Xác nhận danh sách thông báo hiển thị đúng nội dung"
"A1.7","I2167:9091;186:1696","Language","言語切替","Language Switcher","button","","icon_text","","","","","","VN","","Mục đích: Nút chuyển đổi ngôn ngữ giao diện giữa Tiếng Việt và Tiếng Anh.
Hiển thị: Icon cờ Việt Nam và text 'VN' với icon mũi tên xuống (dropdown indicator). Nằm bên phải header.
Chức năng: Click mở dropdown menu chọn ngôn ngữ với 2 option: VN (Tiếng Việt) và EN (Tiếng Anh). Chọn ngôn ngữ sẽ thay đổi toàn bộ giao diện sang ngôn ngữ tương ứng.","on_click","Language dropdown menu (VN/EN)","","","Lưu ngôn ngữ ưa thích của người dùng (cookie/localStorage hoặc user settings).","- Xác nhận nút hiển thị icon cờ Việt Nam và text 'VN'
- Xác nhận click mở dropdown menu chọn ngôn ngữ
- Xác nhận dropdown có 2 option: VN và EN
- Xác nhận chọn ngôn ngữ thay đổi toàn bộ giao diện
- Xác nhận ngôn ngữ mặc định là VN"
"A1.8","I2167:9091;186:1597","Button-IC","アカウントボタン","Account Button","button","","icon_text","","","","","","","","Mục đích: Nút biểu tượng tài khoản cho phép người dùng truy cập menu cá nhân.
Hiển thị: Icon hình người dùng kích thước 40x40px; nằm ở vị trí cuối cùng bên phải header.
Chức năng: Click mở dropdown menu tài khoản với các option: Profile (xem hồ sơ cá nhân); Sign out (đăng xuất); Admin Dashboard (bảng điều khiển quản trị - chỉ hiển thị cho admin).","on_click","Dropdown-profile (Profile / Sign out / Admin Dashboard)","users","","Lấy thông tin người dùng hiện tại để hiển thị avatar và menu tùy chọn.","- Xác nhận icon tài khoản hiển thị đúng kích thước 40x40px
- Xác nhận click icon mở dropdown menu tài khoản
- Xác nhận dropdown có các option: Profile; Sign out
- Xác nhận option Admin Dashboard chỉ hiển thị cho tài khoản có quyền admin
- Xác nhận click Sign out đăng xuất thành công"
"3.5","2167:9027","Keyvisual","キービジュアル","Key Visual","others","hero","","","","","","","","","Mục đích: Banner hero chính của trang chủ; hiển thị chủ đề sự kiện; đồng hồ đếm ngược và thông tin sự kiện.
Hiển thị:
- Tiêu đề lớn 'ROOT FURTHER' kiểu typography đặc biệt
- Nhãn 'Coming soon'
- Đồng hồ đếm ngược: DAYS / HOURS / MINUTES
- Thông tin sự kiện: Thời gian 26/12/2025; Địa điểm Âu Cơ Art Center
- Ghi chú: Tường thuật trực tiếp qua sóng Livestream
- 2 nút CTA: 'ABOUT AWARDS' và 'ABOUT KUDOS' với icon mũi tên
- Hình nền artwork minh họa
Chức năng:
- Đồng hồ đếm ngược tự động cập nhật theo thời gian thực
- Click 'ABOUT AWARDS': điều hướng đến trang Award Information
- Click 'ABOUT KUDOS': điều hướng đến trang Sun* Kudos","","Click 'ABOUT AWARDS' -> Trang Award Information; Click 'ABOUT KUDOS' -> Trang Sun* Kudos","events","","Lấy thông tin sự kiện (ngày; địa điểm; thời gian đếm ngược) từ cấu hình sự kiện.","- Xác nhận banner hiển thị đúng tiêu đề 'ROOT FURTHER'
- Xác nhận đồng hồ đếm ngược hoạt động đúng và cập nhật realtime
- Xác nhận thông tin sự kiện hiển thị đúng (ngày; địa điểm)
- Xác nhận click 'ABOUT AWARDS' điều hướng đúng trang
- Xác nhận click 'ABOUT KUDOS' điều hướng đúng trang
- Xác nhận hình nền hiển thị đúng"
"B1","2167:9035","Countdown time","カウントダウンタイム","Countdown Time","others","countdown","","","","","","","","","Mục đích: Section đồng hồ đếm ngược hiển thị thời gian còn lại đến mốc sự kiện Sun* Annual Awards 2025. Mốc thời gian sự kiện được lấy từ bảng events trong database (trường event_date; format ISO-8601).
Hiển thị:
- Nhãn 'Coming soon' phía trên
- 3 nhóm số đếm ngược: Days; Hours; Minutes
- Mỗi nhóm gồm 2 chữ số dạng flip-clock và nhãn đơn vị phía dưới
Chức năng:
- Tự động cập nhật theo thời gian thực (mỗi phút)
- Khi về 0: ẩn nhãn 'Coming soon' và giữ nguyên trạng thái 00","","","events","event_date","Tính toán thời gian còn lại dựa trên event_date từ bảng events trong database.","- Xác nhận nhãn 'Coming soon' hiển thị đúng
- Xác nhận 3 nhóm số (Days; Hours; Minutes) hiển thị đúng
- Xác nhận đồng hồ đếm ngược cập nhật realtime (giảm dần mỗi phút)
- Xác nhận giá trị đếm ngược chính xác so với ngày sự kiện
- Xác nhận xử lý đúng khi đồng hồ về 0"
